[15/100][0/1000] Loss_D:0.3691 | Loss_G:1.9652
[15/100][50/1000] Loss_D:0.2339 | Loss_G:3.0714
[15/100][100/1000] Loss_D:0.2683 | Loss_G:3.6400
[15/100][150/1000] Loss_D:0.2056 | Loss_G:3.5632
[15/100][200/1000] Loss_D:1.0256 | Loss_G:0.6722
[15/100][250/1000] Loss_D:0.7579 | Loss_G:3.0608
[15/100][300/1000] Loss_D:0.2591 | Loss_G:4.3039
[15/100][350/1000] Loss_D:0.1990 | Loss_G:4.3033
[15/100][400/1000] Loss_D:0.4525 | Loss_G:5.5272
[15/100][450/1000] Loss_D:0.2704 | Loss_G:2.8672
[15/100][500/1000] Loss_D:1.1459 | Loss_G:7.3029
[15/100][550/1000] Loss_D:0.1791 | Loss_G:3.8248
[15/100][600/1000] Loss_D:0.2211 | Loss_G:3.2969
[15/100][650/1000] Loss_D:0.9032 | Loss_G:1.9838
[15/100][700/1000] Loss_D:0.4888 | Loss_G:6.4036
[15/100][750/1000] Loss_D:0.5315 | Loss_G:4.4955
[15/100][800/1000] Loss_D:0.5183 | Loss_G:3.7674
[15/100][850/1000] Loss_D:2.8611 | Loss_G:6.8714
[15/100][900/1000] Loss_D:0.1631 | Loss_G:4.0148
[15/100][950/1000] Loss_D:0.3951 | Loss_G:1.3869
[16/100][0/1000] Loss_D:0.2356 | Loss_G:3.6967
[16/100][50/1000] Loss_D:1.0428 | Loss_G:7.8416
[16/100][100/1000] Loss_D:0.2821 | Loss_G:3.1178
[16/100][150/1000] Loss_D:0.5380 | Loss_G:3.1807
[16/100][200/1000] Loss_D:0.2295 | Loss_G:3.6880
[16/100][250/1000] Loss_D:0.2574 | Loss_G:4.4012
[16/100][300/1000] Loss_D:0.3340 | Loss_G:3.6571
[16/100][350/1000] Loss_D:0.1898 | Loss_G:4.2200
[16/100][400/1000] Loss_D:0.5472 | Loss_G:1.9416
[16/100][450/1000] Loss_D:0.1292 | Loss_G:4.2430
[16/100][500/1000] Loss_D:0.5480 | Loss_G:2.1124
[16/100][550/1000] Loss_D:0.4839 | Loss_G:3.0087
[16/100][600/1000] Loss_D:0.2952 | Loss_G:3.8253
[16/100][650/1000] Loss_D:0.6852 | Loss_G:2.1589
[16/100][700/1000] Loss_D:0.2961 | Loss_G:4.3224
[16/100][750/1000] Loss_D:0.2615 | Loss_G:5.1147
[16/100][800/1000] Loss_D:0.5788 | Loss_G:3.0858
[16/100][850/1000] Loss_D:0.7876 | Loss_G:6.4554
[16/100][900/1000] Loss_D:0.4358 | Loss_G:5.1271
[16/100][950/1000] Loss_D:0.4792 | Loss_G:2.2230
[17/100][0/1000] Loss_D:0.2663 | Loss_G:3.5805
[17/100][50/1000] Loss_D:0.6476 | Loss_G:6.2833
[17/100][100/1000] Loss_D:0.3963 | Loss_G:3.3498
[17/100][150/1000] Loss_D:0.3667 | Loss_G:3.9913
[17/100][200/1000] Loss_D:0.4089 | Loss_G:1.8552
[17/100][250/1000] Loss_D:0.7617 | Loss_G:5.9794
[17/100][300/1000] Loss_D:0.2917 | Loss_G:2.3085
[17/100][350/1000] Loss_D:0.1561 | Loss_G:4.3304
[17/100][400/1000] Loss_D:0.6688 | Loss_G:1.6017
[17/100][450/1000] Loss_D:0.1297 | Loss_G:3.7578
[17/100][500/1000] Loss_D:0.5714 | Loss_G:2.7264
[17/100][550/1000] Loss_D:0.3916 | Loss_G:2.6901
[17/100][600/1000] Loss_D:0.8556 | Loss_G:1.1852
[17/100][650/1000] Loss_D:0.6257 | Loss_G:1.3232
[17/100][700/1000] Loss_D:0.1880 | Loss_G:3.3056
[17/100][750/1000] Loss_D:1.5094 | Loss_G:0.5488
[17/100][800/1000] Loss_D:0.3520 | Loss_G:2.9981
[17/100][850/1000] Loss_D:0.2310 | Loss_G:3.6307
[17/100][900/1000] Loss_D:0.1924 | Loss_G:3.5470
[17/100][950/1000] Loss_D:1.3158 | Loss_G:7.7946
[18/100][0/1000] Loss_D:0.1073 | Loss_G:5.0965
[18/100][50/1000] Loss_D:0.1397 | Loss_G:5.0953
[18/100][100/1000] Loss_D:0.0851 | Loss_G:3.9356
[18/100][150/1000] Loss_D:0.1957 | Loss_G:3.5158
[18/100][200/1000] Loss_D:0.3938 | Loss_G:3.3270
[18/100][250/1000] Loss_D:1.3191 | Loss_G:3.1171
[18/100][300/1000] Loss_D:0.1160 | Loss_G:3.8164
[18/100][350/1000] Loss_D:0.6582 | Loss_G:1.9050
[18/100][400/1000] Loss_D:2.3527 | Loss_G:6.7632
[18/100][450/1000] Loss_D:0.3383 | Loss_G:3.6409
[18/100][500/1000] Loss_D:0.5063 | Loss_G:4.2389
[18/100][550/1000] Loss_D:0.3409 | Loss_G:3.5656
[18/100][600/1000] Loss_D:0.5512 | Loss_G:8.0327
[18/100][650/1000] Loss_D:0.5654 | Loss_G:5.9644
[18/100][700/1000] Loss_D:0.1906 | Loss_G:4.0042
[18/100][750/1000] Loss_D:1.9432 | Loss_G:0.6943
[18/100][800/1000] Loss_D:0.1748 | Loss_G:4.0306
[18/100][850/1000] Loss_D:0.3463 | Loss_G:5.8199
[18/100][900/1000] Loss_D:0.3171 | Loss_G:3.1326
[18/100][950/1000] Loss_D:0.0933 | Loss_G:4.0271
[19/100][0/1000] Loss_D:0.1876 | Loss_G:4.1559
[19/100][50/1000] Loss_D:0.6532 | Loss_G:5.3195
[19/100][100/1000] Loss_D:0.5494 | Loss_G:2.3943
[19/100][150/1000] Loss_D:0.7798 | Loss_G:5.5074
[19/100][200/1000] Loss_D:0.3474 | Loss_G:3.2344
[19/100][250/1000] Loss_D:0.3497 | Loss_G:2.9872
[19/100][300/1000] Loss_D:0.6377 | Loss_G:6.4677
[19/100][350/1000] Loss_D:0.5370 | Loss_G:8.2699
[19/100][400/1000] Loss_D:0.2012 | Loss_G:4.2598
